round,avg_train_loss,test_acc
0,1.7869,0.816
1,0.8190,0.885
2,0.5604,0.908
3,0.4638,0.921
4,0.4049,0.931
5,0.3577,0.935
6,0.3160,0.941
7,0.3016,0.947
8,0.2834,0.950
9,0.2456,0.953
10,0.2273,0.953
11,0.2145,0.956
12,0.2176,0.961
13,0.2106,0.961
14,0.1789,0.963
15,0.1721,0.965
16,0.1781,0.969
17,0.1588,0.970
18,0.1610,0.971
19,0.1596,0.971
20,0.1464,0.972
21,0.1448,0.973
22,0.1384,0.973
23,0.1602,0.974
24,0.1390,0.976
25,0.1327,0.976
26,0.1250,0.975
27,0.1224,0.977
28,0.1218,0.977
29,0.1162,0.978
30,0.0987,0.979
31,0.1090,0.978
32,0.1164,0.979
33,0.1093,0.979
34,0.0947,0.980
35,0.1100,0.980
36,0.1134,0.981
37,0.1000,0.982
38,0.1078,0.981
39,0.0884,0.983
40,0.1140,0.982
41,0.0980,0.983
42,0.1057,0.983
43,0.0833,0.982
44,0.0893,0.983
45,0.0849,0.983
46,0.0888,0.983
47,0.0758,0.982
48,0.0886,0.983
49,0.0841,0.984
50,0.0885,0.984
51,0.0967,0.984
52,0.0827,0.984
53,0.0616,0.983
54,0.0765,0.984
55,0.0799,0.984
56,0.0905,0.985
57,0.0711,0.985
58,0.0889,0.986
59,0.0801,0.986
60,0.0679,0.986
61,0.0733,0.986
62,0.0842,0.986
63,0.0618,0.986
64,0.0668,0.986
65,0.0612,0.986
66,0.0741,0.987
67,0.0642,0.985
68,0.0778,0.986
69,0.0599,0.986
70,0.0519,0.986
71,0.0665,0.986
72,0.0660,0.986
73,0.0619,0.986
74,0.0679,0.988
75,0.0557,0.986
76,0.0557,0.986
77,0.0633,0.986
78,0.0517,0.987
79,0.0745,0.987
80,0.0595,0.988
81,0.0611,0.988
82,0.0531,0.988
83,0.0576,0.988
84,0.0521,0.988
85,0.0513,0.987
86,0.0468,0.988
87,0.0602,0.988
88,0.0521,0.988
89,0.0473,0.988
90,0.0668,0.988
91,0.0419,0.988
92,0.0406,0.989
93,0.0561,0.989
94,0.0701,0.989
95,0.0459,0.989
96,0.0491,0.989
97,0.0502,0.989
98,0.0479,0.988
99,0.0514,0.988
100,0.0545,0.989
101,0.0506,0.989
102,0.0483,0.989
103,0.0575,0.989
104,0.0451,0.988
105,0.0451,0.989
106,0.0366,0.988
107,0.0501,0.989
108,0.0516,0.989
109,0.0481,0.989
110,0.0446,0.988
111,0.0358,0.989
112,0.0515,0.989
113,0.0330,0.989
114,0.0481,0.989
115,0.0487,0.989
116,0.0318,0.989
117,0.0550,0.989
118,0.0397,0.988
119,0.0463,0.988
120,0.0544,0.989
121,0.0503,0.989
122,0.0381,0.989
123,0.0405,0.990
124,0.0422,0.989
125,0.0334,0.988
126,0.0372,0.989
127,0.0482,0.991
128,0.0324,0.990
129,0.0346,0.990
130,0.0457,0.990
131,0.0420,0.990
132,0.0411,0.989
133,0.0299,0.990
134,0.0352,0.990
135,0.0373,0.990
136,0.0443,0.990
137,0.0437,0.990
138,0.0457,0.989
139,0.0423,0.990
140,0.0369,0.990
141,0.0377,0.990
142,0.0286,0.990
143,0.0359,0.990
144,0.0385,0.990
145,0.0458,0.990
146,0.0300,0.990
147,0.0311,0.989
148,0.0394,0.990
149,0.0300,0.990
150,0.0309,0.990
151,0.0453,0.990
152,0.0277,0.990
153,0.0309,0.990
154,0.0342,0.990
155,0.0286,0.990
156,0.0345,0.990
157,0.0299,0.990
158,0.0270,0.990
159,0.0342,0.990
160,0.0339,0.990
161,0.0257,0.990
162,0.0302,0.990
163,0.0273,0.990
164,0.0313,0.990
165,0.0373,0.990
166,0.0308,0.990
167,0.0301,0.990
168,0.0255,0.991
169,0.0324,0.990
170,0.0337,0.991
171,0.0250,0.991
172,0.0236,0.990
173,0.0339,0.991
174,0.0288,0.991
175,0.0251,0.991
176,0.0329,0.990
177,0.0290,0.991
178,0.0337,0.990
179,0.0271,0.990
180,0.0252,0.991
181,0.0248,0.991
182,0.0294,0.992
183,0.0345,0.992
184,0.0266,0.991
185,0.0308,0.991
186,0.0225,0.991
187,0.0395,0.991
188,0.0221,0.991
189,0.0272,0.991
190,0.0305,0.991
191,0.0342,0.992
192,0.0404,0.991
193,0.0249,0.991
194,0.0249,0.991
195,0.0317,0.990
196,0.0211,0.991
197,0.0265,0.991
198,0.0305,0.991
199,0.0232,0.991
