round,avg_train_loss,test_acc
0,0.1046,0.278
1,0.0769,0.509
2,0.0589,0.612
3,0.0514,0.601
4,0.0477,0.765
5,0.0533,0.867
6,0.0284,0.840
7,0.0440,0.848
8,0.0204,0.893
9,0.0239,0.857
10,0.0370,0.906
11,0.0267,0.934
12,0.0176,0.912
13,0.0131,0.902
14,0.0130,0.921
15,0.0196,0.931
16,0.0262,0.883
17,0.0216,0.910
18,0.0126,0.929
19,0.0225,0.923
20,0.0144,0.940
21,0.0162,0.935
22,0.0232,0.939
23,0.0189,0.951
24,0.0180,0.942
25,0.0268,0.949
26,0.0219,0.945
27,0.0179,0.957
28,0.0243,0.958
29,0.0137,0.949
30,0.0171,0.967
31,0.0121,0.963
32,0.0132,0.963
33,0.0152,0.956
34,0.0105,0.924
35,0.0121,0.961
36,0.0156,0.969
37,0.0111,0.967
38,0.0118,0.958
39,0.0067,0.960
40,0.0119,0.965
41,0.0143,0.973
42,0.0074,0.971
43,0.0180,0.975
44,0.0120,0.975
45,0.0135,0.976
46,0.0095,0.974
47,0.0171,0.974
48,0.0089,0.971
49,0.0074,0.977
50,0.0091,0.976
51,0.0127,0.975
52,0.0093,0.968
53,0.0081,0.976
54,0.0133,0.980
55,0.0133,0.977
56,0.0098,0.977
57,0.0071,0.975
58,0.0170,0.976
59,0.0061,0.976
60,0.0119,0.969
61,0.0112,0.975
62,0.0091,0.972
63,0.0096,0.979
64,0.0081,0.974
65,0.0083,0.976
66,0.0056,0.981
67,0.0080,0.980
68,0.0103,0.979
69,0.0070,0.981
70,0.0094,0.977
71,0.0064,0.979
72,0.0082,0.978
73,0.0093,0.976
74,0.0055,0.979
75,0.0068,0.976
76,0.0089,0.980
77,0.0053,0.979
78,0.0090,0.974
79,0.0095,0.981
80,0.0065,0.976
81,0.0068,0.975
82,0.0044,0.977
83,0.0098,0.983
84,0.0066,0.981
85,0.0081,0.979
86,0.0064,0.979
87,0.0096,0.981
88,0.0049,0.983
89,0.0075,0.984
90,0.0043,0.980
91,0.0065,0.980
92,0.0079,0.982
93,0.0047,0.982
94,0.0069,0.980
95,0.0060,0.978
96,0.0054,0.971
97,0.0070,0.982
98,0.0050,0.981
99,0.0040,0.983
100,0.0073,0.983
101,0.0045,0.981
102,0.0067,0.981
103,0.0070,0.980
104,0.0051,0.984
105,0.0079,0.985
106,0.0050,0.986
107,0.0069,0.985
108,0.0066,0.983
109,0.0055,0.981
110,0.0053,0.978
111,0.0080,0.981
112,0.0039,0.979
113,0.0080,0.986
114,0.0043,0.984
115,0.0050,0.981
116,0.0053,0.975
117,0.0044,0.982
118,0.0048,0.981
119,0.0063,0.980
120,0.0061,0.978
121,0.0039,0.982
122,0.0088,0.983
123,0.0041,0.976
124,0.0055,0.984
125,0.0036,0.985
126,0.0038,0.986
127,0.0041,0.977
128,0.0057,0.983
129,0.0044,0.985
130,0.0035,0.985
131,0.0095,0.985
132,0.0040,0.983
133,0.0087,0.986
134,0.0076,0.978
135,0.0039,0.977
136,0.0058,0.983
137,0.0027,0.985
138,0.0069,0.980
139,0.0063,0.983
140,0.0046,0.985
141,0.0040,0.984
142,0.0038,0.987
143,0.0024,0.985
144,0.0048,0.985
145,0.0035,0.983
146,0.0054,0.987
147,0.0059,0.986
148,0.0035,0.985
149,0.0047,0.986
150,0.0041,0.986
151,0.0057,0.988
152,0.0047,0.987
153,0.0022,0.986
154,0.0042,0.985
155,0.0065,0.988
156,0.0053,0.985
157,0.0039,0.985
158,0.0035,0.986
159,0.0032,0.984
160,0.0038,0.988
161,0.0058,0.986
162,0.0046,0.985
163,0.0038,0.983
164,0.0047,0.984
165,0.0039,0.984
166,0.0051,0.987
167,0.0063,0.987
168,0.0058,0.984
169,0.0059,0.981
170,0.0058,0.986
171,0.0039,0.987
172,0.0037,0.986
173,0.0051,0.987
174,0.0034,0.986
175,0.0047,0.986
176,0.0028,0.986
177,0.0030,0.984
178,0.0030,0.982
179,0.0035,0.986
180,0.0024,0.985
181,0.0035,0.987
182,0.0028,0.988
183,0.0041,0.986
184,0.0035,0.984
185,0.0036,0.979
186,0.0036,0.986
187,0.0039,0.985
188,0.0025,0.984
189,0.0037,0.987
190,0.0047,0.987
191,0.0035,0.987
192,0.0037,0.988
193,0.0022,0.985
194,0.0034,0.986
195,0.0041,0.987
196,0.0035,0.987
197,0.0021,0.984
198,0.0019,0.984
199,0.0043,0.986
