round,avg_train_loss,test_acc
0,1.6544,0.842
1,0.5910,0.899
2,0.3976,0.918
3,0.3211,0.928
4,0.2571,0.935
5,0.2316,0.941
6,0.2007,0.946
7,0.1771,0.949
8,0.1537,0.954
9,0.1432,0.955
10,0.1337,0.957
11,0.1316,0.961
12,0.1110,0.963
13,0.1092,0.966
14,0.1015,0.967
15,0.1047,0.968
16,0.0914,0.969
17,0.1007,0.971
18,0.0905,0.971
19,0.0931,0.973
20,0.0881,0.973
21,0.0734,0.974
22,0.0688,0.975
23,0.0720,0.975
24,0.0657,0.975
25,0.0740,0.977
26,0.0684,0.978
27,0.0601,0.978
28,0.0694,0.979
29,0.0538,0.979
30,0.0632,0.980
31,0.0548,0.979
32,0.0490,0.980
33,0.0559,0.980
34,0.0504,0.981
35,0.0457,0.980
36,0.0517,0.981
37,0.0483,0.981
38,0.0442,0.982
39,0.0457,0.981
40,0.0421,0.982
41,0.0454,0.981
42,0.0477,0.983
43,0.0472,0.983
44,0.0523,0.984
45,0.0445,0.984
46,0.0366,0.983
47,0.0464,0.984
48,0.0338,0.984
49,0.0356,0.984
50,0.0379,0.984
51,0.0373,0.984
52,0.0363,0.984
53,0.0361,0.984
54,0.0323,0.985
55,0.0416,0.985
56,0.0336,0.986
57,0.0332,0.985
58,0.0377,0.986
59,0.0310,0.985
60,0.0347,0.985
61,0.0305,0.985
62,0.0306,0.985
63,0.0286,0.986
64,0.0329,0.986
65,0.0324,0.986
66,0.0287,0.985
67,0.0281,0.986
68,0.0270,0.985
69,0.0301,0.986
70,0.0274,0.987
71,0.0333,0.986
72,0.0370,0.986
73,0.0283,0.986
74,0.0267,0.986
75,0.0284,0.987
76,0.0266,0.987
77,0.0284,0.987
78,0.0278,0.987
79,0.0195,0.987
80,0.0245,0.987
81,0.0229,0.987
82,0.0323,0.987
83,0.0257,0.987
84,0.0221,0.987
85,0.0265,0.987
86,0.0257,0.987
87,0.0224,0.987
88,0.0204,0.988
89,0.0182,0.988
90,0.0218,0.987
91,0.0229,0.988
92,0.0231,0.988
93,0.0227,0.988
94,0.0210,0.988
95,0.0244,0.988
96,0.0190,0.988
97,0.0219,0.988
98,0.0211,0.988
99,0.0215,0.988
100,0.0235,0.988
101,0.0206,0.988
102,0.0242,0.988
103,0.0203,0.988
104,0.0163,0.988
105,0.0243,0.988
106,0.0199,0.988
107,0.0246,0.989
108,0.0199,0.989
109,0.0174,0.989
110,0.0188,0.988
111,0.0171,0.988
112,0.0214,0.989
113,0.0183,0.988
114,0.0192,0.989
115,0.0175,0.989
116,0.0187,0.989
117,0.0196,0.988
118,0.0225,0.989
119,0.0205,0.988
120,0.0143,0.988
121,0.0202,0.989
122,0.0173,0.989
123,0.0180,0.988
124,0.0192,0.988
125,0.0178,0.989
126,0.0194,0.989
127,0.0194,0.988
128,0.0195,0.988
129,0.0180,0.988
130,0.0146,0.988
131,0.0196,0.988
132,0.0198,0.988
133,0.0170,0.988
134,0.0164,0.988
135,0.0181,0.989
136,0.0169,0.988
137,0.0161,0.989
138,0.0143,0.989
139,0.0164,0.989
140,0.0191,0.989
141,0.0126,0.989
142,0.0179,0.988
143,0.0188,0.989
144,0.0134,0.989
145,0.0167,0.988
146,0.0180,0.988
147,0.0154,0.989
148,0.0195,0.989
149,0.0151,0.989
150,0.0140,0.989
151,0.0146,0.989
152,0.0163,0.988
153,0.0153,0.989
154,0.0180,0.989
155,0.0135,0.989
156,0.0173,0.989
157,0.0160,0.989
158,0.0145,0.989
159,0.0174,0.989
160,0.0146,0.989
161,0.0154,0.989
162,0.0181,0.989
163,0.0127,0.989
164,0.0153,0.989
165,0.0127,0.989
166,0.0127,0.989
167,0.0139,0.989
168,0.0137,0.989
169,0.0144,0.990
170,0.0184,0.989
171,0.0153,0.990
172,0.0120,0.989
173,0.0172,0.989
174,0.0138,0.989
175,0.0150,0.990
176,0.0145,0.989
177,0.0131,0.989
178,0.0121,0.989
179,0.0130,0.989
180,0.0104,0.989
181,0.0153,0.989
182,0.0115,0.989
183,0.0128,0.990
184,0.0152,0.990
185,0.0120,0.989
186,0.0127,0.989
187,0.0141,0.989
188,0.0133,0.989
189,0.0122,0.989
190,0.0111,0.989
191,0.0121,0.989
192,0.0104,0.989
193,0.0115,0.990
194,0.0118,0.990
195,0.0155,0.989
196,0.0111,0.989
197,0.0129,0.990
198,0.0113,0.989
199,0.0133,0.990
