round,avg_train_loss,test_acc
0,2.2519,0.517
1,2.0852,0.707
2,1.8405,0.793
3,1.4919,0.821
4,1.1380,0.844
5,0.8837,0.868
6,0.7292,0.878
7,0.6399,0.876
8,0.5687,0.889
9,0.5418,0.901
10,0.4968,0.903
11,0.4719,0.908
12,0.4678,0.913
13,0.4203,0.914
14,0.4142,0.919
15,0.4043,0.921
16,0.3794,0.921
17,0.3429,0.924
18,0.3570,0.926
19,0.3383,0.928
20,0.3308,0.928
21,0.3221,0.932
22,0.3040,0.933
23,0.3223,0.933
24,0.3064,0.936
25,0.3075,0.938
26,0.2752,0.938
27,0.2934,0.940
28,0.2742,0.941
29,0.2681,0.943
30,0.2759,0.941
31,0.2681,0.944
32,0.2456,0.945
33,0.2474,0.946
34,0.2528,0.945
35,0.2498,0.946
36,0.2411,0.946
37,0.2496,0.949
38,0.2475,0.951
39,0.2323,0.951
40,0.2201,0.952
41,0.2161,0.952
42,0.2238,0.954
43,0.2180,0.954
44,0.2082,0.954
45,0.2091,0.954
46,0.2074,0.956
47,0.2100,0.956
48,0.2032,0.956
49,0.1826,0.956
50,0.2132,0.958
51,0.1810,0.959
52,0.1768,0.960
53,0.1984,0.960
54,0.1755,0.960
55,0.1888,0.961
56,0.1781,0.962
57,0.1738,0.962
58,0.1828,0.962
59,0.1786,0.961
60,0.1660,0.963
61,0.1630,0.963
62,0.1810,0.964
63,0.1613,0.964
64,0.1736,0.964
65,0.1685,0.964
66,0.1601,0.964
67,0.1543,0.966
68,0.1435,0.966
69,0.1362,0.965
70,0.1439,0.965
71,0.1396,0.967
72,0.1425,0.968
73,0.1557,0.967
74,0.1498,0.967
75,0.1598,0.970
76,0.1511,0.968
77,0.1495,0.969
78,0.1315,0.970
79,0.1454,0.969
80,0.1449,0.969
81,0.1428,0.969
82,0.1453,0.969
83,0.1270,0.970
84,0.1316,0.970
85,0.1254,0.970
86,0.1322,0.972
87,0.1475,0.971
88,0.1239,0.972
89,0.1277,0.971
90,0.1439,0.972
91,0.1154,0.971
92,0.1388,0.971
93,0.1212,0.972
94,0.1233,0.972
95,0.1432,0.972
96,0.1246,0.973
97,0.1362,0.974
98,0.1314,0.974
99,0.1238,0.972
100,0.1257,0.973
101,0.1201,0.974
102,0.1121,0.974
103,0.1084,0.975
104,0.1296,0.975
105,0.1330,0.974
106,0.1197,0.976
107,0.1215,0.976
108,0.1036,0.976
109,0.1138,0.975
110,0.1053,0.974
111,0.1088,0.976
112,0.1043,0.975
113,0.1228,0.975
114,0.1041,0.976
115,0.1096,0.975
116,0.1205,0.976
117,0.1108,0.976
118,0.1014,0.976
119,0.1054,0.977
120,0.0990,0.975
121,0.1044,0.976
122,0.0956,0.976
123,0.1047,0.976
124,0.1106,0.975
125,0.1036,0.977
126,0.1207,0.976
127,0.0992,0.976
128,0.1089,0.976
129,0.0952,0.977
130,0.0990,0.976
131,0.1062,0.977
132,0.1036,0.977
133,0.1055,0.976
134,0.0977,0.978
135,0.1077,0.977
136,0.1000,0.978
137,0.1051,0.979
138,0.0994,0.978
139,0.0981,0.980
140,0.1127,0.979
141,0.0955,0.979
142,0.0859,0.979
143,0.0972,0.980
144,0.1028,0.980
145,0.0933,0.980
146,0.1004,0.980
147,0.0833,0.979
148,0.0903,0.980
149,0.0904,0.979
150,0.0889,0.978
151,0.0790,0.980
152,0.0985,0.978
153,0.0927,0.979
154,0.0852,0.979
155,0.0901,0.980
156,0.0820,0.979
157,0.0988,0.980
158,0.0902,0.979
159,0.0953,0.980
160,0.0996,0.980
161,0.0866,0.980
162,0.0870,0.980
163,0.0766,0.980
164,0.0836,0.980
165,0.0825,0.980
166,0.0778,0.980
167,0.0875,0.980
168,0.0819,0.980
169,0.0812,0.981
170,0.0845,0.981
171,0.0882,0.980
172,0.0752,0.981
173,0.0802,0.981
174,0.0862,0.980
175,0.0858,0.980
176,0.0819,0.981
177,0.0805,0.981
178,0.0818,0.981
179,0.0752,0.981
180,0.0836,0.981
181,0.0888,0.981
182,0.0907,0.981
183,0.0761,0.982
184,0.0836,0.982
185,0.0884,0.981
186,0.0813,0.982
187,0.0767,0.982
188,0.0765,0.981
189,0.0731,0.981
190,0.0811,0.981
191,0.0743,0.982
192,0.0732,0.981
193,0.0773,0.982
194,0.0842,0.982
195,0.0724,0.982
196,0.0709,0.982
197,0.0797,0.982
198,0.0730,0.983
199,0.0718,0.982
