round,avg_train_loss,test_acc
0,2.2905,0.294
1,2.2067,0.523
2,2.1245,0.670
3,2.0294,0.721
4,1.9098,0.747
5,1.7681,0.780
6,1.6040,0.803
7,1.4110,0.817
8,1.2463,0.829
9,1.0965,0.845
10,0.9534,0.847
11,0.8561,0.855
12,0.7987,0.861
13,0.7250,0.865
14,0.6709,0.870
15,0.6321,0.876
16,0.5894,0.880
17,0.5817,0.885
18,0.5630,0.887
19,0.5452,0.890
20,0.5123,0.892
21,0.4902,0.892
22,0.4846,0.895
23,0.4686,0.898
24,0.4567,0.898
25,0.4260,0.899
26,0.4310,0.902
27,0.4121,0.903
28,0.3964,0.905
29,0.4020,0.905
30,0.4053,0.908
31,0.3956,0.910
32,0.3761,0.910
33,0.3596,0.910
34,0.3733,0.914
35,0.3823,0.914
36,0.3595,0.915
37,0.3437,0.917
38,0.3713,0.916
39,0.3287,0.918
40,0.3216,0.919
41,0.3403,0.920
42,0.3259,0.921
43,0.3207,0.922
44,0.3211,0.923
45,0.3244,0.924
46,0.3177,0.924
47,0.3032,0.927
48,0.2793,0.927
49,0.3292,0.927
50,0.2928,0.927
51,0.2948,0.929
52,0.3070,0.930
53,0.2807,0.930
54,0.2903,0.932
55,0.2756,0.933
56,0.2588,0.931
57,0.2624,0.932
58,0.2914,0.933
59,0.2673,0.934
60,0.2645,0.935
61,0.2438,0.936
62,0.2764,0.936
63,0.2571,0.937
64,0.2782,0.938
65,0.2688,0.938
66,0.2540,0.938
67,0.2378,0.938
68,0.2504,0.940
69,0.2462,0.940
70,0.2390,0.941
71,0.2390,0.941
72,0.2308,0.942
73,0.2311,0.942
74,0.2348,0.943
75,0.2397,0.942
76,0.2469,0.943
77,0.2159,0.943
78,0.2304,0.944
79,0.2299,0.945
80,0.2250,0.946
81,0.2279,0.947
82,0.2236,0.947
83,0.2103,0.947
84,0.2114,0.947
85,0.2196,0.948
86,0.2084,0.949
87,0.2115,0.948
88,0.2126,0.950
89,0.1990,0.949
90,0.2083,0.950
91,0.1992,0.950
92,0.1912,0.951
93,0.2057,0.949
94,0.2036,0.951
95,0.1948,0.951
96,0.1991,0.952
97,0.1893,0.951
98,0.1921,0.952
99,0.1919,0.952
100,0.1990,0.953
101,0.1793,0.953
102,0.1957,0.953
103,0.1928,0.954
104,0.1898,0.954
105,0.1624,0.954
106,0.1829,0.955
107,0.1878,0.955
108,0.1898,0.955
109,0.1858,0.954
110,0.1726,0.955
111,0.1725,0.957
112,0.1860,0.957
113,0.1702,0.956
114,0.1630,0.957
115,0.1713,0.957
116,0.1636,0.957
117,0.1750,0.957
118,0.1720,0.958
119,0.1658,0.958
120,0.1706,0.958
121,0.1685,0.959
122,0.1609,0.959
123,0.1666,0.959
124,0.1581,0.958
125,0.1630,0.960
126,0.1554,0.960
127,0.1625,0.959
128,0.1684,0.960
129,0.1645,0.961
130,0.1564,0.962
131,0.1462,0.961
132,0.1509,0.961
133,0.1541,0.961
134,0.1433,0.962
135,0.1413,0.963
136,0.1605,0.962
137,0.1405,0.963
138,0.1511,0.963
139,0.1442,0.963
140,0.1383,0.963
141,0.1467,0.963
142,0.1523,0.964
143,0.1458,0.964
144,0.1504,0.964
145,0.1553,0.965
146,0.1359,0.964
147,0.1447,0.966
148,0.1339,0.966
149,0.1354,0.965
150,0.1417,0.966
151,0.1398,0.966
152,0.1618,0.966
153,0.1458,0.966
154,0.1217,0.967
155,0.1384,0.967
156,0.1202,0.968
157,0.1314,0.967
158,0.1394,0.968
159,0.1354,0.967
160,0.1422,0.968
161,0.1265,0.967
162,0.1383,0.969
163,0.1402,0.969
164,0.1318,0.969
165,0.1297,0.970
166,0.1253,0.968
167,0.1367,0.969
168,0.1331,0.969
169,0.1286,0.969
170,0.1265,0.969
171,0.1171,0.969
172,0.1158,0.969
173,0.1238,0.970
174,0.1137,0.970
175,0.1086,0.970
176,0.1297,0.971
177,0.1334,0.970
178,0.1259,0.970
179,0.1279,0.971
180,0.1143,0.971
181,0.1283,0.970
182,0.1247,0.971
183,0.1220,0.971
184,0.1200,0.971
185,0.1263,0.971
186,0.1176,0.971
187,0.1100,0.971
188,0.1195,0.971
189,0.1084,0.972
190,0.1213,0.971
191,0.1171,0.972
192,0.1155,0.972
193,0.1113,0.973
194,0.1130,0.972
195,0.1175,0.973
196,0.1171,0.973
197,0.1182,0.973
198,0.1203,0.972
199,0.1121,0.973
