round,avg_train_loss,test_acc
0,2.3122,0.113
1,2.3011,0.135
2,2.2851,0.161
3,2.2769,0.198
4,2.2651,0.242
5,2.2526,0.280
6,2.2433,0.317
7,2.2328,0.367
8,2.2180,0.415
9,2.2102,0.463
10,2.2011,0.509
11,2.1872,0.544
12,2.1740,0.576
13,2.1680,0.601
14,2.1536,0.623
15,2.1422,0.638
16,2.1312,0.657
17,2.1181,0.671
18,2.1015,0.685
19,2.0859,0.694
20,2.0768,0.701
21,2.0653,0.708
22,2.0549,0.714
23,2.0433,0.721
24,2.0264,0.726
25,2.0093,0.731
26,1.9931,0.733
27,1.9760,0.736
28,1.9666,0.737
29,1.9487,0.740
30,1.9253,0.740
31,1.9164,0.742
32,1.8976,0.744
33,1.8778,0.746
34,1.8560,0.746
35,1.8338,0.749
36,1.8141,0.750
37,1.7990,0.754
38,1.7740,0.755
39,1.7510,0.756
40,1.7377,0.757
41,1.7124,0.758
42,1.6992,0.761
43,1.6708,0.763
44,1.6449,0.762
45,1.6226,0.763
46,1.6068,0.765
47,1.5915,0.768
48,1.5653,0.774
49,1.5372,0.775
50,1.5126,0.776
51,1.4874,0.778
52,1.4687,0.782
53,1.4569,0.785
54,1.4113,0.786
55,1.4118,0.792
56,1.3862,0.794
57,1.3531,0.794
58,1.3413,0.797
59,1.3025,0.799
60,1.2744,0.802
61,1.2652,0.803
62,1.2434,0.803
63,1.2261,0.806
64,1.2156,0.809
65,1.1821,0.810
66,1.1614,0.813
67,1.1370,0.814
68,1.1194,0.817
69,1.1201,0.819
70,1.0993,0.821
71,1.0808,0.822
72,1.0495,0.823
73,1.0535,0.826
74,1.0061,0.828
75,1.0029,0.828
76,0.9881,0.831
77,0.9797,0.829
78,0.9732,0.834
79,0.9615,0.837
80,0.9446,0.837
81,0.9190,0.839
82,0.9117,0.840
83,0.9012,0.841
84,0.8802,0.842
85,0.8764,0.844
86,0.8674,0.847
87,0.8400,0.847
88,0.8398,0.848
89,0.8258,0.849
90,0.8325,0.849
91,0.7990,0.849
92,0.8198,0.850
93,0.7782,0.852
94,0.7892,0.853
95,0.7939,0.854
96,0.7796,0.855
97,0.7492,0.856
98,0.7653,0.857
99,0.7506,0.858
100,0.7486,0.858
101,0.7406,0.860
102,0.7273,0.861
103,0.7400,0.861
104,0.7225,0.862
105,0.7094,0.864
106,0.7117,0.863
107,0.6919,0.864
108,0.6934,0.865
109,0.6916,0.866
110,0.6712,0.866
111,0.6601,0.865
112,0.6932,0.867
113,0.6731,0.869
114,0.6756,0.868
115,0.6776,0.869
116,0.6585,0.869
117,0.6495,0.870
118,0.6497,0.871
119,0.6384,0.871
120,0.6550,0.873
121,0.6647,0.873
122,0.6354,0.873
123,0.6198,0.874
124,0.6277,0.875
125,0.6296,0.875
126,0.5986,0.876
127,0.5962,0.877
128,0.6063,0.877
129,0.5893,0.876
130,0.5798,0.876
131,0.5905,0.878
132,0.6001,0.878
133,0.6005,0.880
134,0.5744,0.879
135,0.5918,0.880
136,0.5734,0.880
137,0.5840,0.881
138,0.5701,0.881
139,0.5576,0.882
140,0.5844,0.881
141,0.5694,0.882
142,0.5689,0.883
143,0.5426,0.884
144,0.5557,0.882
145,0.5487,0.884
146,0.5509,0.883
147,0.5449,0.883
148,0.5415,0.884
149,0.5430,0.885
150,0.5421,0.885
151,0.5543,0.887
152,0.5335,0.886
153,0.5273,0.886
154,0.5421,0.888
155,0.5145,0.888
156,0.5345,0.889
157,0.5183,0.888
158,0.5241,0.889
159,0.5114,0.888
160,0.5186,0.889
161,0.5114,0.889
162,0.5107,0.890
163,0.5007,0.890
164,0.5196,0.890
165,0.5028,0.891
166,0.5177,0.891
167,0.4956,0.892
168,0.5128,0.892
169,0.5070,0.892
170,0.5059,0.892
171,0.4974,0.892
172,0.5075,0.893
173,0.4989,0.893
174,0.4981,0.893
175,0.5065,0.894
176,0.4747,0.894
177,0.4850,0.895
178,0.4749,0.895
179,0.4792,0.895
180,0.4567,0.896
181,0.4752,0.896
182,0.4658,0.896
183,0.4716,0.897
184,0.4823,0.897
185,0.4667,0.897
186,0.4801,0.897
187,0.4694,0.897
188,0.4544,0.898
189,0.4686,0.897
190,0.4737,0.898
191,0.4632,0.898
192,0.4589,0.898
193,0.4585,0.899
194,0.4697,0.899
195,0.4661,0.899
196,0.4488,0.899
197,0.4416,0.899
198,0.4545,0.900
199,0.4595,0.899
