round,avg_train_loss,test_acc
0,1.0033,0.246
1,0.8110,0.243
2,0.6798,0.313
3,0.5973,0.309
4,0.4485,0.529
5,0.4415,0.528
6,0.3924,0.485
7,0.3387,0.659
8,0.2515,0.696
9,0.3865,0.701
10,0.2025,0.678
11,0.2878,0.676
12,0.2783,0.795
13,0.1888,0.752
14,0.2621,0.755
15,0.1984,0.662
16,0.2213,0.815
17,0.1971,0.815
18,0.1868,0.750
19,0.2284,0.666
20,0.1922,0.654
21,0.2227,0.730
22,0.2265,0.839
23,0.1843,0.846
24,0.1386,0.767
25,0.1932,0.829
26,0.1620,0.875
27,0.1439,0.876
28,0.1373,0.851
29,0.1954,0.862
30,0.1213,0.809
31,0.1593,0.855
32,0.1143,0.884
33,0.1068,0.878
34,0.1353,0.836
35,0.1474,0.858
36,0.1257,0.889
37,0.1147,0.895
38,0.1156,0.779
39,0.1897,0.874
40,0.1308,0.900
41,0.1198,0.907
42,0.1534,0.850
43,0.1610,0.900
44,0.1012,0.898
45,0.1649,0.911
46,0.1425,0.879
47,0.1226,0.894
48,0.1262,0.888
49,0.1380,0.907
50,0.0941,0.878
51,0.0713,0.887
52,0.0920,0.875
53,0.1419,0.924
54,0.1224,0.924
55,0.0746,0.881
56,0.1341,0.885
57,0.1229,0.905
58,0.0936,0.914
59,0.0958,0.901
60,0.0890,0.911
61,0.1030,0.884
62,0.1566,0.920
63,0.1181,0.921
64,0.0989,0.916
65,0.1007,0.912
66,0.0968,0.921
67,0.1334,0.924
68,0.1010,0.919
69,0.1097,0.929
70,0.1106,0.924
71,0.1193,0.894
72,0.1006,0.913
73,0.0844,0.932
74,0.0756,0.913
75,0.1020,0.921
76,0.1208,0.930
77,0.1010,0.928
78,0.0686,0.932
79,0.0944,0.930
80,0.1104,0.935
81,0.0736,0.926
82,0.1086,0.935
83,0.0875,0.929
84,0.0983,0.931
85,0.0930,0.916
86,0.0818,0.939
87,0.0734,0.925
88,0.0915,0.932
89,0.0923,0.939
90,0.0712,0.939
91,0.0699,0.929
92,0.0763,0.934
93,0.0866,0.943
94,0.0856,0.941
95,0.0642,0.937
96,0.0859,0.944
97,0.0620,0.933
98,0.0836,0.930
99,0.0809,0.931
100,0.1092,0.906
101,0.0493,0.888
102,0.0961,0.927
103,0.1000,0.936
104,0.0554,0.939
105,0.0773,0.928
106,0.1052,0.939
107,0.0973,0.947
108,0.0638,0.943
109,0.0649,0.949
110,0.0745,0.946
111,0.0764,0.942
112,0.0518,0.938
113,0.0662,0.946
114,0.0737,0.948
115,0.0754,0.950
116,0.0763,0.938
117,0.0654,0.947
118,0.0719,0.931
119,0.0636,0.946
120,0.0598,0.956
121,0.0818,0.945
122,0.0798,0.952
123,0.0751,0.952
124,0.0749,0.949
125,0.0528,0.939
126,0.0726,0.946
127,0.0761,0.946
128,0.0671,0.945
129,0.1063,0.952
130,0.0576,0.958
131,0.0652,0.901
132,0.0943,0.938
133,0.0560,0.947
134,0.0621,0.945
135,0.0710,0.952
136,0.0614,0.948
137,0.0743,0.942
138,0.0640,0.942
139,0.0566,0.928
140,0.0555,0.947
141,0.0564,0.944
142,0.0744,0.948
143,0.0731,0.952
144,0.0553,0.950
145,0.0702,0.948
146,0.0641,0.952
147,0.0573,0.951
148,0.0767,0.954
149,0.0687,0.959
150,0.0546,0.948
151,0.0678,0.955
152,0.0656,0.954
153,0.0709,0.954
154,0.0624,0.951
155,0.0520,0.958
156,0.0638,0.954
157,0.0554,0.954
158,0.0530,0.954
159,0.0690,0.964
160,0.0630,0.948
161,0.0594,0.959
162,0.0591,0.962
163,0.0613,0.928
164,0.0650,0.940
165,0.0620,0.949
166,0.0478,0.954
167,0.0417,0.935
168,0.0423,0.949
169,0.0784,0.959
170,0.0607,0.945
171,0.0565,0.957
172,0.0450,0.950
173,0.0825,0.959
174,0.0680,0.956
175,0.0676,0.960
176,0.0827,0.963
177,0.0561,0.962
178,0.0594,0.963
179,0.0667,0.957
180,0.0574,0.958
181,0.0586,0.955
182,0.0571,0.960
183,0.0634,0.957
184,0.0445,0.959
185,0.0722,0.962
186,0.0565,0.962
187,0.0503,0.964
188,0.0687,0.936
189,0.0646,0.967
190,0.0594,0.966
191,0.0441,0.965
192,0.0438,0.962
193,0.0463,0.964
194,0.0583,0.959
195,0.0522,0.966
196,0.0582,0.953
197,0.0500,0.963
198,0.0530,0.965
199,0.0694,0.953
